time,t2m_mean,runoff,e_load,energy
2018-06-20,290.35022,9183033.97616744,23108.375,0.8096394151611747
2018-06-21,290.52338,9490988.117456436,23428.291666666668,0.7792696047258518
2018-06-22,287.7275,9008590.684264898,22655.333333333332,0.6670959502031097
2018-06-23,285.58752,10116259.554475546,17073.25,0.47890444708413826
2018-06-24,285.3906,8484160.478532314,14309.0,0.41295209755668344
2018-06-25,285.71283,8291360.966175795,20071.416666666668,0.6188082182466834
2018-06-26,287.20847,5389603.9902716875,21346.166666666668,0.6103025382388977
2018-06-27,287.40424,5963911.684110761,21643.666666666668,0.6839873241370668
2018-06-28,286.16086,7760261.717289686,21343.458333333332,0.6891867210070298
2018-06-29,289.15726,5132278.691112995,21313.958333333332,0.6332732069746576
2018-06-30,291.2137,5134834.536701441,18176.708333333332,0.4629462982294054
2018-07-01,290.8317,6234601.977571845,15066.125,0.34288022589379635
2018-07-02,290.67618,6335059.87341702,21674.666666666668,0.5766264446657521
2018-07-03,289.3466,8939057.112544775,23443.708333333332,0.7937479252406721
2018-07-04,288.89572,7544986.991345882,23275.708333333332,0.6545107434204299
2018-07-05,287.73477,8996083.848029375,23256.625,0.655417304925962
2018-07-06,287.45636,5627760.447517037,22786.958333333332,0.6971857931146654
2018-07-07,288.712,6530726.950138807,18100.041666666668,0.4192047055874852
2018-07-08,289.27158,5144322.295859456,15619.625,0.453174098471244
2018-07-09,289.46686,5443827.326610684,22007.625,0.6324333044033559
2018-07-10,288.56427,9409750.809669495,23410.458333333332,0.6396857964476121
2018-07-11,287.56146,7918109.813541174,22414.875,0.5359244994247334
2018-07-12,287.88007,6558159.858375788,22548.75,0.6194614758021403
2018-07-13,289.18848,5273733.194693923,22613.75,0.6791478855119473
2018-07-14,289.4557,7881188.732177019,18358.083333333332,0.3459865322289281
2018-07-15,288.72925,7645180.774867535,15362.833333333334,0.34084046250634925
2018-07-16,287.62744,6068618.559405208,21188.833333333332,0.6224211324819654
2018-07-17,288.61746,3908307.2554916143,22249.375,0.5567354186914318
2018-07-18,290.38535,3644939.662486315,23038.75,0.6339397963169606
2018-07-19,290.6787,5384153.258353472,23374.791666666668,0.589224983235278
2018-07-20,289.49692,8438334.092617035,23810.666666666668,0.7177167448575965
2018-07-21,286.93677,12515411.192685366,17837.583333333332,0.4566403630512194
2018-07-22,287.9475,6617792.115747929,15307.875,0.41121896526669577
2018-07-23,289.3881,4425734.758928418,21490.0,0.6008236377913495
2018-07-24,290.0857,4292806.364148855,22939.125,0.6171017495303879
2018-07-25,290.9849,4567811.458155513,23437.041666666668,0.6877868833881937
2018-07-26,290.23947,7440395.199477673,23596.583333333332,0.7498463511565991
2018-07-27,290.04587,5424855.947986245,23072.833333333332,0.68830682307519
2018-07-28,290.00876,5231835.790067911,19041.916666666668,0.5486430240758738
2018-07-29,290.9068,3455369.9375092983,16344.916666666666,0.48217073486142276
2018-07-30,292.0808,5046146.611988544,23135.166666666668,0.7918948068690699
2018-07-31,293.20264,3514664.396047592,24376.458333333332,0.7936945980932879
2018-08-01,292.7618,5095197.817653418,25268.708333333332,0.8868837881472417
2018-08-02,291.7158,5173859.8233014345,24087.291666666668,0.7216896173377222
2018-08-03,292.43326,5344236.696153879,23207.75,0.6519643721328326
2018-08-04,292.3115,5533942.203015089,18557.208333333332,0.4908363963113612
2018-08-05,292.41684,6187346.570119262,16152.291666666666,0.4362560609635949
2018-08-06,291.45386,4796529.832541943,19962.791666666668,0.6737885071998315
2018-08-07,290.67715,3693054.8838824034,19820.166666666668,0.6774280850088057
2018-08-08,290.82318,4282585.465610027,19411.75,0.6001837120227387
2018-08-09,289.40793,5481839.216709137,18472.291666666668,0.6278338379414655
2018-08-10,289.03632,6696112.596839666,17243.25,0.648898061158239
2018-08-11,289.31287,4842450.189456344,14880.625,0.47478492494870594
2018-08-12,289.04712,4418341.269746423,12881.125,0.42559063148674753
2018-08-13,288.0922,7370132.214099169,14545.208333333334,0.43444293795253086
2018-08-14,287.3717,6436232.280030847,13481.125,0.39622070506487916
2018-08-15,288.49954,3173336.0611498356,11586.291666666666,0.38779501577816977
2018-08-16,288.78674,4072087.1158242226,13456.208333333334,0.41295209755668344
2018-08-17,289.26578,6735471.542581916,14055.5,0.40484637115427946
2018-08-18,289.5067,5279337.509170175,13611.166666666666,0.35905168333806614
2018-08-19,289.91187,4840342.672467232,13034.416666666666,0.3564519849030846
2018-08-20,290.34222,4600433.055832982,16766.708333333332,0.595290946250235
2018-08-21,290.21527,4731155.82293272,17919.708333333332,0.6397924507423806
2018-08-22,290.10654,4177779.23771739,18447.791666666668,0.71669019727045
2018-08-23,289.23575,5510191.550448537,18788.791666666668,0.6140887657031785
2018-08-24,288.12732,8325855.360329151,18597.25,0.5254990421111151
2018-08-25,285.12814,19520560.046195984,15659.25,0.4970490089816248
2018-08-26,283.32626,6677349.858671427,13140.375,0.3373475343526818
2018-08-27,286.60052,2630503.8913711905,18226.291666666668,0.5816391965198704
2018-08-28,288.41278,2511807.5492978096,19969.875,0.6291136894786872
2018-08-29,288.6074,3349508.9161992073,20890.25,0.644831866170191
2018-08-30,287.86588,6120361.39254272,21775.5,0.7178500627260571
2018-08-31,285.22653,16108132.785439491,20823.833333333332,0.6067562829378459
2018-09-01,283.62225,19756187.97981739,15937.333333333334,0.4465482004087526
2018-09-02,283.89557,7152809.996694326,13633.333333333334,0.4000335961028521
2018-09-03,284.08307,4783232.315212488,19369.583333333332,0.6091826681438287
2018-09-04,285.61826,2925914.9741232395,20947.583333333332,0.6922263684079314
2018-09-05,286.61792,4012526.4751166105,21709.791666666668,0.7724570616475156
2018-09-06,286.46057,6091789.655148983,21982.041666666668,0.7441136828127938
2018-09-07,285.79776,6606425.350576639,21601.0,0.6773347625008832
2018-09-08,286.17737,3078026.492752135,16693.458333333332,0.3694904724385305
2018-09-09,287.1274,2763060.127876699,14357.25,0.33088161773234304
2018-09-10,288.15466,3078016.971461475,20385.208333333332,0.6008103060045035
2018-09-11,289.11533,2364085.1386785507,21996.333333333332,0.6261007056514778
2018-09-12,289.5075,2620884.9039897323,22490.125,0.5352579100824305
2018-09-13,288.34155,5513557.119712234,22454.291666666668,0.5264855943377235
2018-09-14,287.44452,6513445.807591081,22035.666666666668,0.4236308588203769
2018-09-15,287.73904,3464981.680430472,17461.833333333332,0.293019343089535
2018-09-16,287.20776,3756552.3712933064,14611.791666666666,0.214868408597936
2018-09-17,287.30835,3285699.5030269027,20812.875,0.42417746208106527
2018-09-18,286.98495,5528611.108183861,22125.041666666668,0.45773356957259625
2018-09-19,287.25583,2297782.182276249,21993.0,0.3813690945183692
2018-09-20,287.7998,2299570.1150745153,22099.5,0.47902443316575277
2018-09-21,288.0455,2649470.5093503,21875.208333333332,0.4724385304637996
2018-09-22,287.25015,3359369.868554175,17574.291666666668,0.20541617172408003
2018-09-23,288.72546,4435023.398920894,14884.541666666666,0.19292428744932255
2018-09-24,284.15607,4134184.1455698013,20584.666666666668,0.42072452928793597
2018-09-25,280.69003,2606424.9612614512,21276.666666666668,0.45805353245690167
